DateID,Date,DayofWeek,Month,Quarter,Year,isWeekend
20210108,01/08/21,Friday,1,1,2021,FALSE
20210109,01/09/21,Saturday,1,1,2021,TRUE
20210110,01/10/21,Sunday,1,1,2021,TRUE
20210111,01/11/21,Monday,1,1,2021,FALSE
20210112,01/12/21,Tuesday,1,1,2021,FALSE
20210113,01/13/21,Wednesday,1,1,2021,FALSE
20210114,01/14/21,Thursday,1,1,2021,FALSE
20210115,01/15/21,Friday,1,1,2021,FALSE
20210116,01/16/21,Saturday,1,1,2021,TRUE
20210117,01/17/21,Sunday,1,1,2021,TRUE
20210118,01/18/21,Monday,1,1,2021,FALSE
20210119,01/19/21,Tuesday,1,1,2021,FALSE
20210120,01/20/21,Wednesday,1,1,2021,FALSE
20210121,01/21/21,Thursday,1,1,2021,FALSE
20210122,01/22/21,Friday,1,1,2021,FALSE
20210123,01/23/21,Saturday,1,1,2021,TRUE
20210124,01/24/21,Sunday,1,1,2021,TRUE
20210125,01/25/21,Monday,1,1,2021,FALSE
20210126,01/26/21,Tuesday,1,1,2021,FALSE
20210127,01/27/21,Wednesday,1,1,2021,FALSE
20210128,01/28/21,Thursday,1,1,2021,FALSE
20210129,01/29/21,Friday,1,1,2021,FALSE
20210130,01/30/21,Saturday,1,1,2021,TRUE
20210131,01/31/21,Sunday,1,1,2021,TRUE
20210201,02/01/21,Monday,2,1,2021,FALSE
20210202,02/02/21,Tuesday,2,1,2021,FALSE
20210203,02/03/21,Wednesday,2,1,2021,FALSE
20210204,02/04/21,Thursday,2,1,2021,FALSE
20210205,02/05/21,Friday,2,1,2021,FALSE
20210206,02/06/21,Saturday,2,1,2021,TRUE
20210207,02/07/21,Sunday,2,1,2021,TRUE
20210208,02/08/21,Monday,2,1,2021,FALSE
20210209,02/09/21,Tuesday,2,1,2021,FALSE
20210210,02/10/21,Wednesday,2,1,2021,FALSE
20210211,02/11/21,Thursday,2,1,2021,FALSE
20210212,02/12/21,Friday,2,1,2021,FALSE
20210213,02/13/21,Saturday,2,1,2021,TRUE
20210214,02/14/21,Sunday,2,1,2021,TRUE
20210215,02/15/21,Monday,2,1,2021,FALSE
20210216,02/16/21,Tuesday,2,1,2021,FALSE
20210217,02/17/21,Wednesday,2,1,2021,FALSE
20210218,02/18/21,Thursday,2,1,2021,FALSE
20210219,02/19/21,Friday,2,1,2021,FALSE
20210220,02/20/21,Saturday,2,1,2021,TRUE
20210221,02/21/21,Sunday,2,1,2021,TRUE
20210222,02/22/21,Monday,2,1,2021,FALSE
20210223,02/23/21,Tuesday,2,1,2021,FALSE
20210224,02/24/21,Wednesday,2,1,2021,FALSE
20210225,02/25/21,Thursday,2,1,2021,FALSE
20210226,02/26/21,Friday,2,1,2021,FALSE
20210227,02/27/21,Saturday,2,1,2021,TRUE
20210228,02/28/21,Sunday,2,1,2021,TRUE
20210301,03/01/21,Monday,3,1,2021,FALSE
20210302,03/02/21,Tuesday,3,1,2021,FALSE
20210303,03/03/21,Wednesday,3,1,2021,FALSE
20210304,03/04/21,Thursday,3,1,2021,FALSE
20210305,03/05/21,Friday,3,1,2021,FALSE
20210306,03/06/21,Saturday,3,1,2021,TRUE
20210307,03/07/21,Sunday,3,1,2021,TRUE
20210308,03/08/21,Monday,3,1,2021,FALSE
20210309,03/09/21,Tuesday,3,1,2021,FALSE
20210310,03/10/21,Wednesday,3,1,2021,FALSE
20210311,03/11/21,Thursday,3,1,2021,FALSE
20210312,03/12/21,Friday,3,1,2021,FALSE
20210313,03/13/21,Saturday,3,1,2021,TRUE
20210314,03/14/21,Sunday,3,1,2021,TRUE
20210315,03/15/21,Monday,3,1,2021,FALSE
20210316,03/16/21,Tuesday,3,1,2021,FALSE
20210317,03/17/21,Wednesday,3,1,2021,FALSE
20210318,03/18/21,Thursday,3,1,2021,FALSE
20210319,03/19/21,Friday,3,1,2021,FALSE
20210320,03/20/21,Saturday,3,1,2021,TRUE
20210321,03/21/21,Sunday,3,1,2021,TRUE
20210322,03/22/21,Monday,3,1,2021,FALSE
20210323,03/23/21,Tuesday,3,1,2021,FALSE
20210324,03/24/21,Wednesday,3,1,2021,FALSE
20210325,03/25/21,Thursday,3,1,2021,FALSE
20210326,03/26/21,Friday,3,1,2021,FALSE
20210327,03/27/21,Saturday,3,1,2021,TRUE
20210328,03/28/21,Sunday,3,1,2021,TRUE
20210329,03/29/21,Monday,3,1,2021,FALSE
20210330,03/30/21,Tuesday,3,1,2021,FALSE
20210331,03/31/21,Wednesday,3,1,2021,FALSE
20210401,04/01/21,Thursday,4,2,2021,FALSE
20210402,04/02/21,Friday,4,2,2021,FALSE
20210403,04/03/21,Saturday,4,2,2021,TRUE
20210404,04/04/21,Sunday,4,2,2021,TRUE
20210405,04/05/21,Monday,4,2,2021,FALSE
20210406,04/06/21,Tuesday,4,2,2021,FALSE
20210407,04/07/21,Wednesday,4,2,2021,FALSE
20210408,04/08/21,Thursday,4,2,2021,FALSE
20210409,04/09/21,Friday,4,2,2021,FALSE
20210410,04/10/21,Saturday,4,2,2021,TRUE
20210411,04/11/21,Sunday,4,2,2021,TRUE
20210412,04/12/21,Monday,4,2,2021,FALSE
20210413,04/13/21,Tuesday,4,2,2021,FALSE
20210414,04/14/21,Wednesday,4,2,2021,FALSE
20210415,04/15/21,Thursday,4,2,2021,FALSE
20210416,04/16/21,Friday,4,2,2021,FALSE
20210417,04/17/21,Saturday,4,2,2021,TRUE
20210418,04/18/21,Sunday,4,2,2021,TRUE
20210419,04/19/21,Monday,4,2,2021,FALSE
20210420,04/20/21,Tuesday,4,2,2021,FALSE
20210421,04/21/21,Wednesday,4,2,2021,FALSE
20210422,04/22/21,Thursday,4,2,2021,FALSE
20210423,04/23/21,Friday,4,2,2021,FALSE
20210424,04/24/21,Saturday,4,2,2021,TRUE
20210425,04/25/21,Sunday,4,2,2021,TRUE
20210426,04/26/21,Monday,4,2,2021,FALSE
20210427,04/27/21,Tuesday,4,2,2021,FALSE
20210428,04/28/21,Wednesday,4,2,2021,FALSE
20210429,04/29/21,Thursday,4,2,2021,FALSE
20210430,04/30/21,Friday,4,2,2021,FALSE
20210501,05/01/21,Saturday,5,2,2021,TRUE
20210502,05/02/21,Sunday,5,2,2021,TRUE
20210503,05/03/21,Monday,5,2,2021,FALSE
20210504,05/04/21,Tuesday,5,2,2021,FALSE
20210505,05/05/21,Wednesday,5,2,2021,FALSE
20210506,05/06/21,Thursday,5,2,2021,FALSE
20210507,05/07/21,Friday,5,2,2021,FALSE
20210508,05/08/21,Saturday,5,2,2021,TRUE
20210509,05/09/21,Sunday,5,2,2021,TRUE
20210510,05/10/21,Monday,5,2,2021,FALSE
20210511,05/11/21,Tuesday,5,2,2021,FALSE
20210512,05/12/21,Wednesday,5,2,2021,FALSE
20210513,05/13/21,Thursday,5,2,2021,FALSE
20210514,05/14/21,Friday,5,2,2021,FALSE
20210515,05/15/21,Saturday,5,2,2021,TRUE
20210516,05/16/21,Sunday,5,2,2021,TRUE
20210517,05/17/21,Monday,5,2,2021,FALSE
20210518,05/18/21,Tuesday,5,2,2021,FALSE
20210519,05/19/21,Wednesday,5,2,2021,FALSE
20210520,05/20/21,Thursday,5,2,2021,FALSE
20210521,05/21/21,Friday,5,2,2021,FALSE
20210522,05/22/21,Saturday,5,2,2021,TRUE
20210523,05/23/21,Sunday,5,2,2021,TRUE
20210524,05/24/21,Monday,5,2,2021,FALSE
20210525,05/25/21,Tuesday,5,2,2021,FALSE
20210526,05/26/21,Wednesday,5,2,2021,FALSE
20210527,05/27/21,Thursday,5,2,2021,FALSE
